station_id,station_name,summary_date,nfdr_type,fuel_model,kbdi,gsi,ignition_component_max,ignition_component_max_time,spread_component_max,spread_component_max_time,energy_release_component_max,energy_release_component_max_time,burning_index_max,burning_index_max_time,one_hr_tl_fuel_moisture_min,one_hr_tl_fuel_moisture_min_time,ten_hr_tl_fuel_moisture_min,ten_hr_tl_fuel_moisture_min_time,hun_hr_tl_fuel_moisture_min,hun_hr_tl_fuel_moisture_min_time,thou_hr_tl_fuel_moisture_min,thou_hr_tl_fuel_moisture_min_time,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,latitude,longitude,elevation
293004,COSMIC,8/22/2026,F,W,71,0.84,7.6,,2.17,,2.65,,5.96,,6.04,,7.31,,11.63,,13.78,,199.84,168.08,32.77925,-105.81989,9172
20115,MOSS BASIN,8/22/2026,F,W,399,0.27,48.49,,37.73,,10.79,,47.39,,4.46,,5.51,,10.06,,12.71,,30.0,60.0,35.03397,-113.89406,5920
20312,HOPI,8/22/2026,F,W,476,0.07,54.27,,38.84,,10.95,,48.72,,3.91,,6.15,,10.66,,12.24,,30.0,60.0,35.86292,-110.61495,5579
293104,CAPROCK,8/22/2026,F,W,493,0.0,70.9,,58.92,,11.76,,60.99,,3.63,,5.17,,7.55,,8.78,,30.0,60.0,32.92728,-103.85689,4167
292008,SLAUGHTER,8/22/2026,F,W,22,0.65,12.49,,8.25,,2.74,,12.07,,6.63,,9.12,,13.57,,15.63,,139.0,129.36,34.06056,-108.44472,8680
21504,BELMONT,8/22/2026,F,W,693,0.01,52.85,,38.5,,12.65,,50.14,,3.32,,3.97,,6.25,,8.15,,30.0,60.0,33.67411,-112.92281,1813
20121,CIBOLA,8/22/2026,F,W,749,0.0,68.07,,41.11,,12.84,,53.82,,3.14,,3.82,,6.89,,8.54,,30.0,60.0,33.28,-114.68489,252
20610,RED LAKE,8/22/2026,F,W,100,0.37,14.69,,6.08,,7.58,,16.69,,5.83,,8.62,,15.18,,17.77,,52.31,74.2,34.18133,-110.78919,6524
55523735,RED CANYON,8/22/2026,F,W,300,0.27,38.62,,32.38,,9.19,,41.35,,5.06,,8.43,,11.57,,11.78,,30.0,60.0,34.62289,-106.40831,8070
21206,SASABE,8/22/2026,F,W,610,0.05,32.8,,18.25,,9.34,,32.0,,4.88,,8.89,,12.14,,13.83,,30.0,60.0,31.69169,-111.44811,3500
292001,BEAVERHEAD,8/22/2026,F,W,183,0.24,28.93,,20.92,,9.05,,33.23,,5.12,,8.33,,14.64,,17.04,,30.0,60.0,33.42353,-108.11019,6750
