station_name,station_id,wrcc_id,latitude,longitude,elevation,observation_time,observation_time_lst,display_hour,display_hour_lst,nfdr_date,nfdr_time,nfdr_type,fuel_model,fuel_model_version,kbdi,one_hr_tl_fuel_moisture,ten_hr_tl_fuel_moisture,hun_hr_tl_fuel_moisture,thou_hr_tl_fuel_moisture,ignition_component,spread_component,energy_release_component,burning_index,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,gsi,quality_code
MAYHILL,293002,XMAY,32.90947,-105.46981,6599,8/23/2026 15:01 MDT,8/23/2026 15:01 MDT,8/23/2026 15:00 MDT,8/23/2026 15:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,467,4.09,8.15,11.54,13.91,46.04,2.39,42.32,25.16,30.0,60.0,0.13,0
MESCAL,293003,XMES,33.15803,-105.76881,6227,8/23/2026 14:41 MDT,8/23/2026 14:41 MDT,8/23/2026 15:00 MDT,8/23/2026 15:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,217,5.72,9.43,13.39,16.0,38.98,2.98,34.31,25.28,36.38,64.06,0.32,0
COSMIC,293004,XCOS,32.77925,-105.81989,9172,8/23/2026 15:15 MDT,8/23/2026 15:15 MDT,8/23/2026 15:00 MDT,8/23/2026 15:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,71,6.45,8.4,12.19,14.01,26.73,1.95,39.97,22.34,199.84,168.08,0.84,0
BATDRAW,293101,XBAD,32.17861,-104.44056,4425,8/23/2026 14:52 MDT,8/23/2026 14:52 MDT,8/23/2026 15:00 MDT,8/23/2026 15:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,566,3.4,5.17,6.95,8.17,76.04,5.69,66.29,46.12,30.0,60.0,0.0,0
CAPROCK,293104,XCAP,32.92728,-103.85689,4167,8/23/2026 14:40 MDT,8/23/2026 14:40 MDT,8/23/2026 15:00 MDT,8/23/2026 15:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,493,3.85,5.85,7.52,8.83,68.43,4.63,62.57,40.84,30.0,60.0,0.0,0
QUEEN,293105,XQUN,32.20361,-104.69031,5642,8/23/2026 15:13 MDT,8/23/2026 15:13 MDT,8/23/2026 15:00 MDT,8/23/2026 15:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,241,3.44,5.67,7.94,10.02,67.01,4.09,58.75,37.48,30.0,60.0,0.0,0
PADUCA,293202,XPAD,32.17983,-103.722,3534,8/23/2026 14:39 MDT,8/23/2026 14:39 MDT,8/23/2026 15:00 MDT,8/23/2026 15:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,605,3.62,6.16,8.02,8.93,74.26,5.12,61.64,42.5,30.0,60.0,0.0,0
MALPAIS LAVA FLOW,293301,XMAL,34.85181,-108.17461,7514,8/23/2026 15:25 MDT,8/23/2026 15:25 MDT,8/23/2026 15:00 MDT,8/23/2026 15:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,181,6.56,12.02,16.87,16.25,30.62,2.53,29.58,21.92,30.0,60.0,0.27,0
BLUEWATER RIDGE,293303,XBLR,35.19411,-108.16336,8274,8/23/2026 15:05 MDT,8/23/2026 15:05 MDT,8/23/2026 15:00 MDT,8/23/2026 15:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,213,6.76,10.42,12.82,13.5,27.55,2.29,39.42,23.89,82.82,93.61,0.47,0
LAGUNA,293304,XLAG,35.05197,-107.42028,5805,8/23/2026 14:33 MDT,8/23/2026 14:33 MDT,8/23/2026 15:00 MDT,8/23/2026 15:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,546,5.33,8.5,9.88,10.12,45.09,3.37,53.12,32.75,30.0,60.0,0.01,0
