station_id,wrcc_id,station_name,latitude,longitude,elevation,station_type,observation_time,observation_time_lst,display_hour,display_hour_lst,masked_observation_time,display_date,temperature,relative_humidity,hourly_precip,wind_speed,wind_direction,peak_gust_speed,peak_gust_dir,sol_rad,snow_flag,observation_type
290307,XWDR,WILD RIVERS,36.69469,-105.66872,7530,RAWS,8/23/2026 15:49 MDT,8/23/2026 15:49 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:49 MDT,8/22/2026,81,28,0.0,3,217,17,232,492,N,O
291301,XBRU,BRUSHY MOUNTAIN,34.72,-107.8484,8789,RAWS,8/23/2026 15:49 MDT,8/23/2026 15:49 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:49 MDT,8/22/2026,63,71,0.06,5,61,12,287,126,N,O
20221,APRO,PROMONTORY,34.36528,-111.01444,7842,RAWS,8/23/2026 15:49 MDT,8/23/2026 15:49 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:49 MDT,8/22/2026,82,26,0.0,5,198,11,200,861,N,O
20121,ACBL,CIBOLA,33.28,-114.68489,252,RAWS,8/23/2026 15:48 MDT,8/23/2026 15:48 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:48 MDT,8/22/2026,112,25,0.0,12,164,19,169,780,N,O
290202,XCOY,COYOTE,36.07333,-106.65739,8704,RAWS,8/23/2026 15:48 MDT,8/23/2026 15:48 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:48 MDT,8/22/2026,75,41,0.0,1,127,8,143,326,N,O
20508,AHUM,HUMBUG CREEK,34.11,-112.3,5250,RAWS,8/23/2026 15:48 MDT,8/23/2026 15:48 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:48 MDT,8/22/2026,90,25,0.0,7,304,29,204,383,N,O
20216,AWAR,WARM SPRINGS CANYON,36.70117,-112.22689,7953,RAWS,8/23/2026 15:47 MDT,8/23/2026 15:47 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:47 MDT,8/22/2026,79,24,0.0,3,204,11,206,515,N,O
290603,XZUB,ZUNI BUTTES,35.13919,-108.94131,6649,RAWS,8/23/2026 15:42 MDT,8/23/2026 15:42 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:42 MDT,8/22/2026,85,26,0.0,5,237,10,212,528,N,O
290706,XSLK,SANDIA LAKES,35.22967,-106.59061,5027,RAWS,8/23/2026 15:42 MDT,8/23/2026 15:42 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:42 MDT,8/22/2026,99,16,0.0,4,281,8,277,795,N,O
293003,XMES,MESCAL,33.15803,-105.76881,6227,RAWS,8/23/2026 15:41 MDT,8/23/2026 15:41 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:41 MDT,8/22/2026,89,19,0.0,6,254,16,253,900,N,O
20402,APIN,PINEY HILL,35.76111,-109.16719,8061,RAWS,8/23/2026 15:41 MDT,8/23/2026 15:41 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:41 MDT,8/22/2026,77,29,0.0,2,94,6,62,297,N,O
290101,XWAS,WASHINGTON PASS,36.0765,-108.8615,9384,RAWS,8/23/2026 15:41 MDT,8/23/2026 15:41 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:41 MDT,8/22/2026,74,30,0.0,2,35,8,323,446,N,O
290705,XCUB,CUBA,35.942,-107.07739,6890,RAWS,8/23/2026 15:41 MDT,8/23/2026 15:41 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:41 MDT,8/22/2026,85,22,0.0,7,276,17,326,450,N,O
292702,XHAC,HACHITA VALLEY,31.702,-108.34169,4290,RAWS,8/23/2026 15:40 MDT,8/23/2026 15:40 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:40 MDT,8/22/2026,102,11,0.0,7,167,20,163,883,N,O
293104,XCAP,CAPROCK,32.92728,-103.85689,4167,RAWS,8/23/2026 15:40 MDT,8/23/2026 15:40 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:40 MDT,8/22/2026,99,14,0.0,13,218,25,203,794,N,O
293202,XPAD,PADUCA,32.17983,-103.722,3534,RAWS,8/23/2026 15:39 MDT,8/23/2026 15:39 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:39 MDT,8/22/2026,102,15,0.0,9,192,29,165,738,N,O
292102,XCHU,CHUPADERA,33.77294,-106.0985,5580,RAWS,8/23/2026 15:39 MDT,8/23/2026 15:39 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:39 MDT,8/22/2026,96,14,0.0,6,239,18,215,777,N,O
55523738,XTBA,T BAR,33.51789,-108.52419,8047,RAWS,8/23/2026 15:39 MDT,8/23/2026 15:39 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:39 MDT,8/22/2026,81,29,0.0,6,269,12,299,555,N,O
55523737,ASOW,SOWATS,36.48242,-112.42281,7038,RAWS,8/23/2026 15:39 MDT,8/23/2026 15:39 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:39 MDT,8/22/2026,79,26,0.0,7,183,19,191,340,N,O
55522257,ADUT,DUTCH KID,35.12931,-112.28219,6505,RAWS,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:38 MDT,8/22/2026,72,54,0.0,0,44,3,255,81,N,O
55522384,ATNK,TANKS,33.67314,-110.57431,5801,RAWS,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:38 MDT,8/22/2026,93,19,0.0,3,173,14,29,655,N,O
55522271,AFTH,FTHL YDMA,32.48658,-114.4635,331,RAWS,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:38 MDT,8/22/2026,110,24,0.0,12,158,22,187,801,N,O
55522344,APND,PINEDALE,34.30617,-110.23661,6461,RAWS,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:38 MDT,8/22/2026,88,20,0.0,8,200,18,188,817,N,O
55523735,XRDC,RED CANYON,34.62289,-106.40831,8070,RAWS,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:38 MDT,8/22/2026,84,23,0.0,4,265,14,222,803,N,O
292009,XPEL,PELONA MOUNTAIN,33.69375,-108.06161,7955,RAWS,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:38 MDT,8/22/2026,79,25,0.02,10,160,21,154,482,N,O
20212,ADRY,DRY PARK,36.45308,-112.23819,8700,RAWS,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:38 MDT,8/22/2026,69,37,0.0,2,192,8,209,276,N,O
55522198,X10K,10K,35.2085,-106.43586,10065,RAWS,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:38 MDT,8/22/2026,72,33,0.0,5,284,16,321,790,N,O
55522315,XMID,MIDNIGHT,36.77819,-105.34131,10815,RAWS,8/23/2026 15:37 MDT,8/23/2026 15:37 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:37 MDT,8/22/2026,63,49,0.0,2,239,7,243,238,N,O
292901,XMCG,MCGREGGOR RANGE,32.43133,-105.62181,4832,RAWS,8/23/2026 15:37 MDT,8/23/2026 15:37 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:37 MDT,8/22/2026,99,11,0.0,12,145,19,147,845,N,O
21207,ARIN,RINCON,32.20639,-110.54861,8209,RAWS,8/23/2026 15:37 MDT,8/23/2026 15:37 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:37 MDT,8/22/2026,68,58,0.02,2,270,6,289,149,N,O
292301,XEIG,EIGHT MILE DRAW,33.65064,-104.32139,3626,RAWS,8/23/2026 15:37 MDT,8/23/2026 15:37 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:37 MDT,8/22/2026,104,11,0.0,12,210,23,202,807,N,O
55523718,ACED,CEDAR RIDGE,32.59872,-110.76231,4735,RAWS,8/23/2026 15:37 MDT,8/23/2026 15:37 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:37 MDT,8/22/2026,92,26,0.0,9,242,19,237,487,N,O
21208,ASOL,SCOUT CAMP,32.39806,-110.725,7554,RAWS,8/23/2026 15:37 MDT,8/23/2026 15:37 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:37 MDT,8/22/2026,84,33,0.0,3,255,11,182,916,N,O
21409,ACHR,HEADQUARTERS,32.00611,-109.35694,5400,RAWS,8/23/2026 15:37 MDT,8/23/2026 15:37 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:37 MDT,8/22/2026,96,15,0.0,5,230,27,76,496,N,O
21010,ANOO,NOON CREEK,32.66778,-109.78806,4925,RAWS,8/23/2026 15:37 MDT,8/23/2026 15:37 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:37 MDT,8/22/2026,100,12,0.0,5,45,15,54,904,N,O
20307,ANAV,NAVAJO MONUMENT,36.67667,-110.54389,7204,RAWS,8/23/2026 15:36 MDT,8/23/2026 15:36 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:36 MDT,8/22/2026,82,25,0.0,2,349,11,329,430,N,O
292302,XDUN,DUNKEN,32.82467,-105.18261,5431,RAWS,8/23/2026 15:36 MDT,8/23/2026 15:36 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:36 MDT,8/22/2026,98,12,0.0,12,164,23,155,798,N,O
20404,AGRE,GREER,34.05853,-109.44097,8240,RAWS,8/23/2026 15:35 MDT,8/23/2026 15:35 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:35 MDT,8/22/2026,73,39,0.0,5,262,11,252,547,N,O
21105,ATRA,TRAIL CABIN,33.26478,-109.36789,6250,RAWS,8/23/2026 15:35 MDT,8/23/2026 15:35 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:35 MDT,8/22/2026,90,15,0.0,3,112,12,346,517,N,O
293305,XRAM,RAMAH,34.81947,-108.29439,7645,RAWS,8/23/2026 15:34 MDT,8/23/2026 15:34 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:34 MDT,8/22/2026,84,23,0.0,13,307,19,287,610,N,O
290305,XBLM,BLACK MESA,36.03708,-106.04964,5762,RAWS,8/23/2026 15:34 MDT,8/23/2026 15:34 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:34 MDT,8/22/2026,86,31,0.0,3,181,10,250,272,N,O
20223,AGUN,GUNSIGHT,36.70464,-112.5835,5284,RAWS,8/23/2026 15:34 MDT,8/23/2026 15:34 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 15:34 MDT,8/22/2026,89,20,0.0,10,212,26,213,452,N,O
