station_name,station_id,wrcc_id,latitude,longitude,elevation,summary_date,observation_type,temperature_min,temperature_max,relative_humidity_min,relative_humidity_max,wind_speed_min,wind_speed_max,peak_gust_speed_min,peak_gust_speed_max,peak_wind_gust_time,solar_radiation_max,daily_precipitation_total,snow_flag
10K,55522198,X10K,35.2085,-106.43586,10065,8/22/2026,F,54,76,24,59,3,11,5,16,,962,0.0,N
AHAKHAV PRESERVE,21503,AAHA,34.13222,-114.32917,363,8/22/2026,F,87,112,16,35,1,11,5,22,,929,0.0,N
ALBINO CANYON,290102,XALB,36.97661,-107.62892,7173,8/22/2026,F,61,90,20,69,1,15,1,21,,814,0.0,N
ALPINE,20401,AALP,33.84272,-109.11161,8207,8/22/2026,F,56,80,26,64,1,5,5,11,,759,0.0,N
BAKERS TANK,55522210,AHBB,32.61528,-114.00836,563,8/22/2026,F,89,109,21,43,3,15,6,25,,891,0.0,N
BARTLEY,291002,XBAR,35.90875,-105.38769,9192,8/22/2026,F,56,80,26,60,3,11,5,16,,810,0.0,N
BATDRAW,293101,XBAD,32.17861,-104.44056,4425,8/22/2026,F,75,99,13,33,5,14,6,23,,979,0.0,N
BEAVERHEAD,292001,XBEA,33.42353,-108.11019,6750,8/22/2026,F,54,89,20,77,1,7,1,9,,982,0.0,N
BELMONT,21504,ABEL,33.67411,-112.92281,1813,8/22/2026,F,86,108,14,30,3,11,8,17,,909,0.0,N
BLACK HILLS,21008,ABLA,33.08203,-109.95119,3262,8/22/2026,F,80,105,12,36,2,7,7,16,,967,0.0,N
BLACK MESA,290305,XBLM,36.03708,-106.04964,5762,8/22/2026,F,59,93,20,67,2,9,3,13,,871,0.02,N
BLACK ROCK,20114,ABRK,36.79436,-113.75056,7224,8/22/2026,F,68,85,18,33,3,6,10,21,,945,0.0,N
BLUEWATER RIDGE,293303,XBLR,35.19411,-108.16336,8274,8/22/2026,F,58,82,26,60,1,8,1,11,,898,0.02,N
BOSQUE,292103,XBOS,33.82064,-106.88169,4523,8/22/2026,F,66,100,13,58,2,9,3,13,,966,0.0,N
BRIGHT ANGEL,20211,ACAN,36.20472,-112.06222,8134,8/22/2026,F,60,85,19,44,2,11,3,17,,819,0.0,N
BRUSHY MOUNTAIN,291301,XBRU,34.72,-107.8484,8789,8/22/2026,F,57,82,25,60,3,10,5,15,,784,0.01,N
BUCKSKIN MTN,20224,ABUC,36.91808,-112.19981,6334,8/22/2026,F,65,90,16,43,2,9,6,22,,856,0.0,N
